time,queue_length,busy_servers
857.5901281678603,5,2
858.1459397812783,6,2
859.97846581984,6,1
859.97846581984,5,2
860.9315630189166,6,2
863.6691841003721,6,1
863.6691841003721,5,2
863.9216937172827,6,2
864.2598791424224,7,2
864.6019151595042,8,2
865.8052408624552,9,2
865.8778381817559,9,1
865.8778381817559,8,2
867.993419780479,8,1
867.993419780479,7,2
868.0705349276413,7,1
868.0705349276413,6,2
868.5632243131403,6,1
868.5632243131403,5,2
869.5022085969044,5,1
869.5022085969044,4,2
869.5911858116095,5,2
870.3005480047374,6,2
870.6057659860403,7,2
870.8340688849503,7,1
870.8340688849503,6,2
870.8462538062523,6,1
870.8462538062523,5,2
870.8566715192676,5,1
870.8566715192676,4,2
871.2831066550209,4,1
871.2831066550209,3,2
871.7072609579519,4,2
871.8894077925785,4,1
871.8894077925785,3,2
873.5020620413961,3,1
873.5020620413961,2,2
873.8706464762953,2,1
873.8706464762953,1,2
874.0021594115791,2,2
875.1401955232417,2,1
875.1401955232417,1,2
875.3611208994736,1,1
875.3611208994736,0,2
875.3784078045894,0,1
876.9316227710057,1,1
876.9316227710057,0,2
877.7733495794057,0,1
877.8024944251109,0,0
879.3294260337491,1,0
879.3294260337491,0,1
881.893989670056,1,1
881.893989670056,0,2
882.0639207086663,1,2
882.6632129284498,2,2
882.7283574411737,2,1
882.7283574411737,1,2
883.3386033027436,2,2
883.5297449487718,3,2
885.077475661124,4,2
885.2158615425708,4,1
885.2158615425708,3,2
885.3438448843684,3,1
885.3438448843684,2,2
885.4397659916988,3,2
885.6498017381837,3,1
885.6498017381837,2,2
885.8655142906487,3,2
887.1401958647475,3,1
887.1401958647475,2,2
887.6126109257218,2,1
887.6126109257218,1,2
888.1695195794258,1,1
888.1695195794258,0,2
888.225746291662,0,1
888.7686307590403,1,1
888.7686307590403,0,2
888.9151014143285,0,1
888.9368235369201,1,1
888.9368235369201,0,2
889.6011148285401,0,1
892.542457901112,1,1
892.542457901112,0,2
893.0225148697949,0,1
894.9273541067315,1,1
894.9273541067315,0,2
896.3610999677853,0,1
896.891559926372,0,0
897.2807764066064,1,0
897.2807764066064,0,1
897.432639080811,1,1
897.432639080811,0,2
897.6275080938019,1,2
898.2686379457871,1,1
898.2686379457871,0,2
898.9639228987479,1,2
899.0556666378583,1,1
899.0556666378583,0,2
900.1541014653337,0,1
901.6515992632822,1,1
901.6515992632822,0,2
902.3358161275569,1,2
902.8460114523368,1,1
902.8460114523368,0,2
902.8800308226465,0,1
904.46651840405,1,1
904.46651840405,0,2
904.9302253045104,0,1
907.6040593727605,1,1
907.6040593727605,0,2
908.0590292126498,0,1
908.1740770074038,0,0
910.9746247937558,1,0
910.9746247937558,0,1
911.1126836858363,1,1
911.1126836858363,0,2
911.6330693317116,1,2
911.806180336481,2,2
912.77610170313,3,2
912.9580881082803,4,2
913.0103463978998,4,1
913.0103463978998,3,2
913.0685572811641,4,2
913.2994164609925,4,1
913.2994164609925,3,2
913.7964691965923,4,2
914.4653544330263,4,1
914.4653544330263,3,2
914.5759006843534,4,2
914.9374783570538,5,2
917.303531621083,5,1
917.303531621083,4,2
917.3596592923715,4,1
917.3596592923715,3,2
917.5853114165446,3,1
917.5853114165446,2,2
918.4264691328311,3,2
918.9328943667113,4,2
919.0473866702696,4,1
919.0473866702696,3,2
919.1512798617838,4,2
919.279214601329,4,1
919.279214601329,3,2
920.7386704694507,4,2
921.5982683033741,5,2
922.7330626661998,5,1
922.7330626661998,4,2
922.8386499223557,5,2
923.1493823513309,5,1
923.1493823513309,4,2
923.618843470089,4,1
923.618843470089,3,2
923.9354441041438,4,2
923.9378270283381,4,1
923.9378270283381,3,2
924.517649915875,3,1
924.517649915875,2,2
925.452269559749,2,1
925.452269559749,1,2
925.6983327802704,1,1
925.6983327802704,0,2
926.0339473575641,1,2
926.7256394443358,1,1
926.7256394443358,0,2
926.9182624013437,0,1
927.1091448662279,1,1
927.1091448662279,0,2
927.2043833109431,1,2
927.5668133132255,1,1
927.5668133132255,0,2
927.6116063353295,0,1
927.6520250985376,0,0
929.5988005899778,1,0
929.5988005899778,0,1
929.6467408078394,0,0
929.8838067444408,1,0
929.8838067444408,0,1
930.0725036390246,0,0
930.6546901270383,1,0
930.6546901270383,0,1
930.6998911631769,0,0
931.1869853805082,1,0
931.1869853805082,0,1
932.0135654077629,1,1
932.0135654077629,0,2
932.671396008158,1,2
932.715448854596,1,1
932.715448854596,0,2
933.2182034853066,1,2
934.3604366510938,2,2
934.9303783407804,2,1
934.9303783407804,1,2
935.1115197260036,2,2
935.1506298202414,2,1
935.1506298202414,1,2
935.3812689537291,1,1
935.3812689537291,0,2
935.4648422727583,1,2
936.1575493460057,1,1
936.1575493460057,0,2
936.1671580037049,1,2
936.7379660624579,1,1
936.7379660624579,0,2
938.986307356925,0,1
940.6699335258779,1,1
940.6699335258779,0,2
942.375304075477,1,2
943.5513948991969,2,2
943.8202005825146,2,1
943.8202005825146,1,2
945.1191494336773,1,1
945.1191494336773,0,2
945.9680453948758,0,1
946.260369798436,0,0
946.3314287329465,1,0
946.3314287329465,0,1
948.2499674189148,0,0
950.5588186854615,1,0
950.5588186854615,0,1
950.701018076635,1,1
950.701018076635,0,2
950.7646604366222,1,2
952.7501134564492,1,1
952.7501134564492,0,2
952.840278980971,0,1
953.4093547409766,1,1
953.4093547409766,0,2
954.1788249143799,1,2
954.6942129207681,1,1
954.6942129207681,0,2
956.5578072163127,1,2
957.0978532025065,1,1
957.0978532025065,0,2
957.2523236034752,0,1
957.2751997019071,0,0
960.3289935347225,1,0
960.3289935347225,0,1
962.2102734536212,0,0
962.2860009223562,1,0
962.2860009223562,0,1
962.3839279599222,1,1
962.3839279599222,0,2
962.4958742777382,0,1
963.6198999598602,1,1
963.6198999598602,0,2
964.1422130792632,1,2
965.5837571490092,1,1
965.5837571490092,0,2
965.9657527251045,1,2
966.3578160799045,1,1
966.3578160799045,0,2
966.52047637228,0,1
967.9045346974843,0,0
969.515282234788,1,0
969.515282234788,0,1
971.4436715607395,1,1
971.4436715607395,0,2
971.7470071835594,0,1
972.8464034473956,1,1
972.8464034473956,0,2
973.462067070661,0,1
973.5851135018373,1,1
973.5851135018373,0,2
974.0455716351794,1,2
974.292000952453,2,2
974.5304107361787,3,2
974.8090908511604,4,2
975.1019664588421,4,1
975.1019664588421,3,2
975.9625373364788,4,2
976.220235316384,5,2
976.6652400849094,5,1
976.6652400849094,4,2
976.806096567754,5,2
977.49452654774,6,2
977.6753819849012,7,2
977.7299997606486,7,1
977.7299997606486,6,2
978.9516258771815,6,1
978.9516258771815,5,2
979.0507170849736,5,1
979.0507170849736,4,2
979.2376258141188,5,2
979.3714889462926,6,2
979.3959088966701,7,2
979.3993980040149,7,1
979.3993980040149,6,2
979.5832513075292,7,2
980.2677851009137,7,1
980.2677851009137,6,2
981.8059405148117,6,1
981.8059405148117,5,2
982.0126371192894,5,1
982.0126371192894,4,2
982.4392336312318,4,1
982.4392336312318,3,2
983.3964414091752,4,2
985.4781999388838,5,2
986.2897402182011,5,1
986.2897402182011,4,2
986.7279517160621,5,2
987.404923187585,5,1
987.404923187585,4,2
987.5575543752234,5,2
987.7417097037318,5,1
987.7417097037318,4,2
987.8432904365872,5,2
988.8424486678264,6,2
989.0931747818702,6,1
989.0931747818702,5,2
990.5932242118985,6,2
990.9437239420047,7,2
991.8781393094422,8,2
991.9351086884728,9,2
991.9997548799394,9,1
991.9997548799394,8,2
992.402139255357,8,1
992.402139255357,7,2
992.591460006274,7,1
992.591460006274,6,2
994.7776426183775,7,2
996.3099239316539,8,2
996.3146653618074,9,2
996.60709652377,10,2
997.5437636887453,10,1
997.5437636887453,9,2
998.1053702408992,10,2
998.8917135651628,11,2
999.1543186403078,12,2
1000.18279634293,13,2
1000.5221160184387,14,2
1001.4241717695554,14,1
1001.4241717695554,13,2
1001.6790487222428,13,1
1001.6790487222428,12,2
1002.7273177231289,13,2
1004.0947471948368,14,2
1004.4749808978971,15,2
1004.527878590123,16,2
1004.5660653685939,16,1
1004.5660653685939,15,2
1004.8496222153805,16,2
1005.3768789225948,17,2
1005.5768629453669,17,1
1005.5768629453669,16,2
1005.5967892832313,16,1
1005.5967892832313,15,2
1005.6937227029512,15,1
1005.6937227029512,14,2
1006.4980961136157,14,1
1006.4980961136157,13,2
1006.8216585202288,13,1
1006.8216585202288,12,2
1007.7071365977856,12,1
1007.7071365977856,11,2
1007.7666642652161,11,1
1007.7666642652161,10,2
1008.2120680022697,10,1
1008.2120680022697,9,2
1008.8245946384187,10,2
1009.7619273371788,10,1
1009.7619273371788,9,2
1010.9191867096018,10,2
1010.9737413024985,10,1
1010.9737413024985,9,2
1011.1096379408136,10,2
1011.5671283605545,11,2
1011.7089545319164,12,2
1011.7147809613514,12,1
1011.7147809613514,11,2
1012.2879312226672,12,2
1012.7065329535624,12,1
1012.7065329535624,11,2
1012.9401863622138,11,1
1012.9401863622138,10,2
1013.2005264228026,11,2
1014.2223975234557,11,1
1014.2223975234557,10,2
1015.0517185360991,10,1
1015.0517185360991,9,2
1015.752568527667,10,2
1016.7505816351736,11,2
1018.2209635480478,11,1
1018.2209635480478,10,2
1018.6576910352804,11,2
1019.5825463260708,12,2
1019.8433078620054,13,2
1019.8887701850241,14,2
1021.4694717205481,15,2
1021.6944550865005,15,1
1021.6944550865005,14,2
1022.4324465058912,15,2
1023.297436399189,15,1
1023.297436399189,14,2
1023.469859817481,15,2
1024.1367418669124,15,1
1024.1367418669124,14,2
1024.26549796128,15,2
1024.5369666986464,16,2
1024.7476216823,16,1
1024.7476216823,15,2
1025.1923898302773,16,2
1025.3026235772775,17,2
1025.931797533441,17,1
1025.931797533441,16,2
1026.2399716677069,17,2
1026.7162848101473,18,2
1027.2065072319317,19,2
1027.3765604815565,20,2
1027.4167587657514,21,2
1027.772027392115,22,2
1027.8302944178383,22,1
1027.8302944178383,21,2
1027.859391439384,21,1
1027.859391439384,20,2
1029.3851277705385,21,2
1030.2406081671893,22,2
1030.9012163734349,22,1
1030.9012163734349,21,2
1030.9716927486736,22,2
1031.6782138993044,23,2
1031.8519838643672,23,1
1031.8519838643672,22,2
1032.336624864755,22,1
1032.336624864755,21,2
1032.4755183050086,21,1
1032.4755183050086,20,2
1032.843994236887,21,2
1033.559000381908,21,1
1033.559000381908,20,2
1033.828398034835,20,1
1033.828398034835,19,2
1035.9435366752361,20,2
1035.9624255423212,21,2
1036.2163192997716,21,1
1036.2163192997716,20,2
1036.5137666332364,20,1
1036.5137666332364,19,2
1037.527745214932,20,2
1037.886739146971,20,1
1037.886739146971,19,2
1037.9020553219095,19,1
1037.9020553219095,18,2
1038.7807449377822,18,1
1038.7807449377822,17,2
1038.8260955578278,18,2
1039.3889336831242,18,1
1039.3889336831242,17,2
1040.3776297728832,18,2
1040.5943749482014,19,2
1041.3812922715272,20,2
1042.487957253971,20,1
1042.487957253971,19,2
1042.65162118126,20,2
1043.1868247997813,20,1
1043.1868247997813,19,2
1044.6043041734588,19,1
1044.6043041734588,18,2
1045.3167304900214,19,2
1045.7797903534445,20,2
1045.8247810292426,20,1
1045.8247810292426,19,2
1046.934611046915,19,1
1046.934611046915,18,2
1047.199873735436,19,2
1047.5010662593231,20,2
1047.6186778733556,21,2
1047.9898038211695,22,2
1049.249913173979,22,1
1049.249913173979,21,2
1049.813388678595,21,1
1049.813388678595,20,2
1050.190867261954,20,1
1050.190867261954,19,2
1050.3998085015824,19,1
1050.3998085015824,18,2
1050.5034172157768,18,1
1050.5034172157768,17,2
1050.616608349731,17,1
1050.616608349731,16,2
1050.629773927853,17,2
1051.1625773705446,17,1
1051.1625773705446,16,2
1051.2676800503325,16,1
1051.2676800503325,15,2
1051.7648048072601,15,1
1051.7648048072601,14,2
1052.6667511245826,14,1
1052.6667511245826,13,2
1052.7497026579942,13,1
1052.7497026579942,12,2
1053.6520205620445,13,2
1054.0288080622126,14,2
1054.0364146513464,14,1
1054.0364146513464,13,2
1054.4021167805474,13,1
1054.4021167805474,12,2
1054.865353802464,12,1
1054.865353802464,11,2
1054.9639061255748,11,1
1054.9639061255748,10,2
1055.0118992956498,10,1
1055.0118992956498,9,2
1055.190917345754,9,1
1055.190917345754,8,2
1056.587784717734,8,1
1056.587784717734,7,2
1057.1154270304214,7,1
1057.1154270304214,6,2
1057.450899136774,6,1
1057.450899136774,5,2
1057.913892638428,6,2
1058.3610799662908,7,2
1058.953264319491,7,1
1058.953264319491,6,2
1059.3067468162737,6,1
1059.3067468162737,5,2
1060.3969989121995,6,2
1060.8345984615266,6,1
1060.8345984615266,5,2
1061.1365887334453,5,1
1061.1365887334453,4,2
1061.1850400672186,5,2
1061.2947699784918,6,2
1061.7797499714875,7,2
1062.3978657491323,7,1
1062.3978657491323,6,2
1062.7186833386188,6,1
1062.7186833386188,5,2
1064.2425330277315,5,1
1064.2425330277315,4,2
1065.0554490215175,5,2
1065.8188081820924,6,2
1066.3561836726105,6,1
1066.3561836726105,5,2
1068.8963755794189,6,2
1072.334313962306,7,2
1074.171597570792,8,2
1075.1180693770566,9,2
1075.674766452259,9,1
1075.674766452259,8,2
1076.307812397658,8,1
1076.307812397658,7,2
1076.7324920731558,7,1
1076.7324920731558,6,2
1077.5604943681628,7,2
1077.6693656514708,7,1
1077.6693656514708,6,2
1078.8318598345402,7,2
1079.6393150081012,7,1
1079.6393150081012,6,2
1079.6936338231944,6,1
1079.6936338231944,5,2
1079.8326759289139,6,2
1079.9708780335884,6,1
1079.9708780335884,5,2
1080.9622305150037,6,2
1081.0059264300264,6,1
1081.0059264300264,5,2
